"status_reason_code","description","status_code"
U000,Success/ Transaction Accepted,ACSP
U002,Success/ Transaction Accepted Stored in SAF,ACTC
U101,Tenant Not Found,RJCT
U102,Tenant Not Active,RJCT
U103,Tenant Undefined,RJCT
U104,Inbound Scheme Not Found,RJCT
U106,Original Payment Not Found,OTHR
U107,Original Payment Rejected,OTHR
U108,Original Payment Not Responded,OTHR
U111,Minimum Amount Check Failed,RJCT
U112,Maximum Amount Check Failed,RJCT
U114,Mod 10 check failed,RJCT
U115,Date Sent Tolerance Check failed,RJCT
U116,Date Settlement Tolerance Check failed,RJCT
U117,Original Date Tolerance configuration error,RJCT
U118,Original Date Tolerance check failed,RJCT
U119,Session Validation Failed,RJCT
U121,Inbound Bank Not Found,RJCT
U122,Inbound Bank Not Active,RJCT
U123,Product Undefined,RJCT
U124,Bank Code Not Found,RJCT
U125,Inbound Bank Id Cannot be Determined (Bank Classifier not found),RJCT
U126,Outbound Bank Cannot be Determined,RJCT
U128,Outbound Bank Not Active,RJCT
U129,Payee Bank Unavailable,RJCT
U130,Inbound Settlement Bank not found,RJCT
U131,Outbound Settlement Bank not found,RJCT
U132,Inbound Settlement Bank Inactive,RJCT
U134,Outbound Settlement Bank Inactive,RJCT
U135,Pre-Authorization Match Not Found,RJCT
U136,Pre-Authorization Bank Account Check Failed,RJCT
U137,Pre-Authorization Timeout,RJCT
U138,Pre-Authorization Config Not Found,RJCT
U139,Pre-Authorization Endpoint or Channel Not Configured,RJCT
U140,Pre-Authorization Exception No Response Returned,RJCT
U141,Pre-Authorization Exception,RJCT
U142,Pre-Authorization Stand-In Limit Exceeded,RJCT
U143,Pre-Authorization Stand-In Account Not Found,RJCT
U144,Pre-Authorization Stand-In Account Inactive,RJCT
U145,Pre-Authorization Stand-In Insufficient Funds,RJCT
U146,Pre-Authorization Stand-In Not Permitted,RJCT
U147,Pre-Authorization No Stand-In Response,RJCT
U149,Duplicate Transaction,RJCT
U150,Notification Configuration Not Found,RJCT
U151,Notification Endpoint Or Channel Not Configured,RJCT
U155,Fraud Check Failed,RJCT
U156,Sanction Check Failed,RJCT
U157,AML Check Failed,RJCT
U159,Pre-Authorization Stand-In Rejected with Default Status,RJCT
U160,Settlement Rules Not Found,RJCT
U161,Settlement Endpoint Or Channel Not Configured,RJCT
U162,Settlement Confirmation Not Received,RJCT
U163,Forwarded Settlement Confirmation Response Not Received,RJCT
U164,Settlement Total Management Not Configured,RJCT
U170,Online Route Not Found,RJCT
U171,Online Authorization Exception,RJCT
